timestamp,Basel Temperature [2 m elevation corrected]
20180126T1600,8.220529
20180126T1700,7.5505285
20180126T1800,7.1105285
20180126T1900,6.540529
20180126T2000,6.2205286
20180126T2100,6.2105284
20180126T2200,5.9605284
20180126T2300,5.8305287
20180127T0000,5.8505287
20180127T0100,5.6605287
20180127T0200,5.5505285
20180127T0300,5.5105286
20180127T0400,5.5205283
20180127T0500,5.4705286
20180127T0600,5.2805285
20180127T0700,5.3505287
20180127T0800,5.7305284
20180127T0900,6.6805286
20180127T1000,8.020529
20180127T1100,8.910529
20180127T1200,9.150529
20180127T1300,9.220529
20180127T1400,9.530529
20180127T1500,9.720529
20180127T1600,9.330529
20180127T1700,8.910529
20180127T1800,8.680529
20180127T1900,8.510529
20180127T2000,8.340529
20180127T2100,7.8105288
20180127T2200,6.1505284
20180127T2300,4.9605284
20180128T0000,4.3905287
20180128T0100,3.9205287
20180128T0200,3.9105287
20180128T0300,3.0205286
20180128T0400,2.6105285
20180128T0500,2.2505286
20180128T0600,2.4205287
20180128T0700,2.6905286
20180128T0800,2.9705286
20180128T0900,4.9305286
20180128T1000,7.8205285
20180128T1100,9.480529
20180128T1200,9.330529
20180128T1300,9.8005295
20180128T1400,9.960529
20180128T1500,10.490529
20180128T1600,9.780529
20180128T1700,8.890529
20180128T1800,8.3005295
20180128T1900,7.8605285
20180128T2000,7.4605284
20180128T2100,7.0805287
20180128T2200,6.1905284
20180128T2300,6.4905286
20180129T0000,6.6405287
20180129T0100,5.8705287
20180129T0200,5.4805284
20180129T0300,5.4905286
20180129T0400,5.3005285
20180129T0500,4.7505283
20180129T0600,4.1505284
20180129T0700,3.7105286
20180129T0800,4.0705285
20180129T0900,6.1905284
20180129T1000,8.660529
20180129T1100,9.620529
20180129T1200,10.3005295
20180129T1300,10.5505295
20180129T1400,10.290529
20180129T1500,9.790529
20180129T1600,8.840529
20180129T1700,7.6405287
20180129T1800,7.0105286
20180129T1900,6.5105286
20180129T2000,6.1705284
20180129T2100,5.8305287
20180129T2200,5.7105284
20180129T2300,5.8205285
20180130T0000,6.1405287
20180130T0100,5.8605285
20180130T0200,5.1305285
20180130T0300,5.1605287
20180130T0400,5.1005287
20180130T0500,5.4205284
20180130T0600,5.5005283
20180130T0700,5.5905285
20180130T0800,6.3105288
20180130T0900,7.6905284
20180130T1000,9.640529
20180130T1100,10.680529
20180130T1200,10.450529
20180130T1300,10.790529
20180130T1400,10.920529
20180130T1500,10.710529
20180130T1600,10.460529
20180130T1700,9.710529
20180130T1800,9.210529
20180130T1900,8.470529
20180130T2000,7.9205284
20180130T2100,7.2605286
20180130T2200,6.2705283
20180130T2300,5.6705284
20180131T0000,5.8005285
20180131T0100,5.3205285
20180131T0200,4.8805285
20180131T0300,4.7305284
20180131T0400,4.4605284
20180131T0500,5.0505285
20180131T0600,4.6205287
20180131T0700,3.9405286
20180131T0800,4.5805287
20180131T0900,6.8405285
20180131T1000,9.600529
20180131T1100,10.390529
20180131T1200,11.910529
20180131T1300,12.940529
20180131T1400,12.910529
20180131T1500,12.850529
20180131T1600,12.400529
20180131T1700,10.830529
20180131T1800,10.610529
20180131T1900,11.270529
20180131T2000,10.170529
